sampleA	sampleB	n_avail	n_a	n_b	n_sh	SHa	SHb	SHc	SHs
QU07	QU08	680078	3401	3837	1034	0.304	0.2695	-0.6805	-0.4396
QU07	QU09	695077	3487	4358	1221	0.3502	0.2802	-0.6698	-0.4017
QU07	QU10	721281	3649	4443	1288	0.353	0.2899	-0.6601	-0.3941
QU07	QU11	686687	3450	4427	1284	0.3722	0.29	-0.66	-0.3813
QU07	QU12	701621	3538	4228	1264	0.3573	0.299	-0.651	-0.3858
QU08	QU09	679585	3831	4258	1346	0.3513	0.3161	-0.6339	-0.3795
QU08	QU10	703246	3961	4330	1221	0.3083	0.282	-0.668	-0.4287
QU08	QU11	671880	3757	4305	1391	0.3702	0.3231	-0.6269	-0.3635
QU08	QU12	685603	3862	4113	1397	0.3617	0.3397	-0.6103	-0.359
QU09	QU10	721709	4521	4447	1630	0.3605	0.3665	-0.5895	-0.344
QU09	QU11	686149	4307	4439	1662	0.3859	0.3744	-0.5756	-0.3247
QU09	QU12	701567	4419	4199	1359	0.3075	0.3236	-0.6425	-0.4025
QU10	QU11	709685	4386	4589	1650	0.3762	0.3596	-0.5904	-0.3388
QU10	QU12	728865	4529	4374	1423	0.3142	0.3253	-0.6358	-0.3972
QU11	QU12	692438	4467	4142	1485	0.3324	0.3585	-0.6176	-0.3653
SD01	SD02	707409	31666	23779	13787	0.4354	0.5798	-0.5146	-0.1905
SD01	SD03	709889	31674	36111	21709	0.6854	0.6012	-0.3488	-0.0923
SD01	SD04	708573	31678	23582	14615	0.4614	0.6198	-0.4886	-0.1613
SD01	SD05	707192	31541	22176	12038	0.3817	0.5428	-0.5683	-0.2314
SD01	SD06	710486	31679	21244	12359	0.3901	0.5818	-0.5599	-0.2062
SD01	SD07	708309	31680	21280	14370	0.4536	0.6753	-0.4964	-0.1364
SD01	SD08	531154	25374	30271	18101	0.7134	0.598	-0.352	-0.0833
SD01	SD09	710505	31740	21201	12316	0.388	0.5809	-0.562	-0.2074
SD01	SD10	704233	29264	29234	18919	0.6465	0.6472	-0.3035	-0.0919
SD01	SD11	710853	31808	23670	14656	0.4608	0.6192	-0.4892	-0.1618
SD01	SD12	702551	27771	28277	16911	0.6089	0.598	-0.352	-0.1201
SD02	SD03	720602	27328	42025	27184	0.9947	0.6469	-0.3031	0.0135
SD02	SD04	718273	27375	26698	11308	0.4131	0.4236	-0.5369	-0.2826
SD02	SD05	717445	27265	24836	10247	0.3758	0.4126	-0.5742	-0.3086
SD02	SD06	720342	27407	24180	10673	0.3894	0.4414	-0.5606	-0.2851
SD02	SD07	718062	27298	24083	11261	0.4125	0.4676	-0.5375	-0.2593
SD02	SD08	538673	22365	34569	16274	0.7277	0.4708	-0.4792	-0.1065
SD02	SD09	720437	27432	24147	10653	0.3883	0.4412	-0.5617	-0.2858
SD02	SD10	713634	25359	33804	15044	0.5932	0.445	-0.505	-0.1802
SD02	SD11	720586	27444	26800	11329	0.4128	0.4227	-0.5372	-0.2833
SD02	SD12	712655	27725	32898	27627	0.9965	0.8398	-0.1102	0.0051
SD03	SD04	720843	41829	26689	17507	0.4185	0.656	-0.5315	-0.1563
SD03	SD05	719883	41692	24806	15315	0.3673	0.6174	-0.5827	-0.1938
SD03	SD06	723558	41866	24148	15575	0.372	0.645	-0.578	-0.1763
SD03	SD07	720730	41828	24091	17102	0.4089	0.7099	-0.5411	-0.1299
SD03	SD08	539459	33811	34478	24377	0.721	0.707	-0.243	-0.0556
SD03	SD09	723485	41961	24122	15557	0.3707	0.6449	-0.5793	-0.1767
SD03	SD10	716360	38682	33813	23848	0.6165	0.7053	-0.3335	-0.0816
SD03	SD11	723626	41983	26795	17558	0.4182	0.6553	-0.5318	-0.1567
SD03	SD12	715155	36019	32680	32469	0.9014	0.9935	-0.0486	0.0021
SD04	SD05	718495	26638	24907	10370	0.3893	0.4163	-0.5607	-0.2992
SD04	SD06	721774	26754	24196	10798	0.4036	0.4463	-0.5464	-0.2752
SD04	SD07	719409	26702	24084	10658	0.3991	0.4425	-0.5509	-0.2796
SD04	SD08	538945	21035	34527	14932	0.7099	0.4325	-0.5175	-0.1243
SD04	SD09	721763	26783	24160	10777	0.4024	0.4461	-0.5476	-0.2759
SD04	SD10	714362	24347	33825	14747	0.6057	0.436	-0.514	-0.177
SD04	SD11	723273	27084	27137	27014	0.9974	0.9955	0.0455	-0.0022
SD04	SD12	712485	23679	32664	13634	0.5758	0.4174	-0.5326	-0.1993
SD05	SD06	720411	24888	24111	9563	0.3842	0.3966	-0.5658	-0.3131
SD05	SD07	717829	24821	24002	8777	0.3536	0.3657	-0.5964	-0.3485
SD05	SD08	538296	19762	34433	12797	0.6476	0.3716	-0.5784	-0.1749
SD05	SD09	720393	24887	24063	9528	0.3829	0.396	-0.5671	-0.3142
SD05	SD10	713553	23102	33665	12671	0.5485	0.3764	-0.5736	-0.2303
SD05	SD11	720793	24960	26728	10394	0.4164	0.3889	-0.5611	-0.2994
SD05	SD12	711573	22529	32539	12389	0.5499	0.3807	-0.5693	-0.2278
SD06	SD07	721408	24182	24130	9723	0.4021	0.4029	-0.5479	-0.2998
SD06	SD08	539017	19197	34452	13019	0.6782	0.3779	-0.5721	-0.1555
SD06	SD09	726048	24510	24519	24434	0.9969	0.9965	0.0465	-0.0022
SD06	SD10	716999	21765	33843	14093	0.6475	0.4164	-0.5336	-0.1614
